Jurisdiction,Percent change
NY STATE,-0.5609399366646416
MCTD,-0.6067156032796839
ALBANY,-0.4879651902950573
ALLEGANY,-0.3570871133918603
BROOME,-0.3874138826484963
CATTARAUGUS,-0.3897206044852236
CAYUGA,-0.38648834899851503
CHAUTAUQUA,-0.33545608547110356
CHEMUNG,-0.38301088101033137
CHENANGO,-0.352968265725379
CLINTON,-0.3934389178480272
COLUMBIA,-0.39165491247726575
CORTLAND,-0.38517730368483843
DELAWARE,-0.322739033212167
DUTCHESS,-0.4039949205015099
ERIE,-0.41281925165103434
ESSEX,-0.4027747650496954
FRANKLIN,-0.3234115581409416
FULTON,-0.29001102667101997
GENESEE,-0.367384074742086
GREENE,-0.38302698255251855
HAMILTON,-0.40272844615995884
HERKIMER,-0.35726215878628775
JEFFERSON,-0.34122801530746044
LEWIS,-0.42176867506714544
LIVINGSTON,-0.33581130824555827
MADISON,-0.36346671229455424
MONROE,-0.40436105433436137
MONTGOMERY,-0.3481994147872775
NASSAU,-0.41306470768982634
NIAGARA,-0.38343784504264344
NY CITY,-0.6883519740736505
ONEIDA,-0.38080622429108263
ONONDAGA,-0.44015480483464414
ONTARIO,-0.4135232123734046
ORANGE,-0.389128134193513
ORLEANS,-0.2468166146225007
OSWEGO,-0.3083052444583387
OTSEGO,-0.46559215739951104
PUTNAM,-0.3671929610339681
RENSSELAER,-0.41895163749028874
ROCKLAND,-0.4503231621230059
SARATOGA,-0.42633722868757623
SCHENECTADY,-0.3768534610934625
SCHOHARIE,-0.3327324144009556
SCHUYLER,-0.31626635142400406
SENECA,-0.3760880325522454
ST LAWRENCE,-0.3512570369831243
STEUBEN,-0.4042820215969009
SUFFOLK,-0.3590343870298403
SULLIVAN,-0.32717210051386536
TIOGA,-0.34940577115302235
TOMPKINS,-0.5194184994528545
ULSTER,-0.39385218293231605
WARREN,-0.3417906742345112
WASHINGTON,-0.3111948371133493
WAYNE,-0.29588430323297926
WESTCHESTER,-0.4537966332448242
WYOMING,-0.30805107023112704
YATES,-0.3508343364882787
